sig_key,width,toggles
RSA_tb.RSA.MULT_BLK.y[31:0],32,119529 84783 128519 111771 152769 93803 145331 129015 118669 138353 105169 120923 121317 112485 113723 146959 122585 126823 102943 114423 120675 112961 145875 138259 104913 147409 87571 121365 144857 120271 111605 145629
RSA_tb.RSA.MULT_BLK.x[31:0],32,34169 34277 34057 34109 33877 34007 34383 33973 34193 34279 34293 34177 34209 34121 34189 34081 34281 34081 34281 34023 34087 34215 34153 34125 33983 34101 34067 33919 34203 34051 34123 33311
RSA_tb.RSA.MULT_BLK.sign,1,96012
RSA_tb.RSA.MULT_BLK.regz_out[31:0],32,132072 132754 135436 135950 135760 135872 136536 136734 137056 136632 136042 136252 137128 136488 135638 135926 136282 136606 137166 136092 136552 136710 136298 136772 135990 136524 136174 135760 136294 136156 136884 135624
RSA_tb.RSA.MULT_BLK.regy_in[31:0],32,189920 159698 201466 212389 225461 173307 229639 195234 207401 210821 165404 190630 197185 190059 183304 219311 183610 202765 175710 204100 186622 190407 242753 223613 164756 215920 151586 196010 229949 189708 189231 242855
RSA_tb.RSA.MULT_BLK.regx_in[31:0],32,232508 212698 252284 227883 259181 200673 242853 257480 228351 254007 234534 241946 239767 225427 234560 256491 243584 236445 218186 243516 249134 226309 261893 242581 225508 264820 222090 238230 245905 229792 216457 264333
RSA_tb.RSA.MULT_BLK.regc_in[31:0],32,98048 108740 114338 123504 129026 137324 136722 140518 141628 142016 141352 141258 141244 141238 141670 141370 141694 140714 141670 141272 141368 141166 141220 141384 141738 141838 142786 144492 147186 152292 148070 184592
RSA_tb.RSA.MULT_BLK.q[63:0],64,37344 47672 53554 62672 68156 76470 75824 79652 80752 81142 80486 80376 80364 80376 80772 80508 80814 79840 80796 80394 80496 80306 80348 80512 80866 80956 81904 83618 86318 91434 119566 146676 229815 231027 234067 238267 237379 238359 235009 238839 236223 238617 234721 234365 239613 234529 234899 238219 235405 238803 234637 238301 238697 235585 238387 236027 234521 235499 234569 236755 228337 227627 219349 219057
RSA_tb.RSA.MULT_BLK.d_out[31:0],32,243029 243991 247269 251257 250565 251597 248215 251811 249193 251597 247971 247569 252599 247709 248107 251207 248651 251757 247859 251557 251673 248803 251323 249001 247471 248447 247479 249669 241185 240471 232071 219537
RSA_tb.RSA.MULT_BLK.c[31:0],32,54132 64478 70038 78884 84250 92382 91688 95432 96536 96786 96386 96250 96136 96074 96512 96324 96376 95948 96364 96140 96394 96250 96022 96174 96278 96068 96316 96482 96586 96128 95106 96012
RSA_tb.RSA.MULT_BLK.Con[30:16],15,1628422 49126 1627676 48106 160260 2 1676520 2 136640 47362 57610 48104 2 65536 56578
RSA_tb.RSA.MULT_BLK.exor.Inv,1,56578
RSA_tb.RSA.MULT_BLK.exor.d[31:0],32,140628 106892 152208 162375 178991 119739 183391 146186 157603 164337 116136 141352 147121 140263 133994 172799 134334 152717 122856 155052 137594 140613 196257 177315 115488 170160 98744 146802 183651 140442 139415 196401
RSA_tb.RSA.MULT_BLK.exor.i[31:0],32,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
RSA_tb.RSA.MULT_BLK.mux2_1.Sel,1,48606
RSA_tb.RSA.MULT_BLK.mux2_1.a[31:0],32,202214 169378 203282 205801 212377 170307 225401 191074 205569 202809 179390 201916 190091 188091 197476 208981 190152 191935 188036 202782 184804 187203 230201 222619 178188 223802 164616 201920 225989 201572 188885 229007
RSA_tb.RSA.MULT_BLK.mux2_1.b[31:0],32,243373 246543 248563 246255 246037 245799 250435 246351 250747 246481 250063 249975 246859 250151 250769 245973 249767 246349 250313 246709 246349 250149 246699 250377 249883 250555 249469 250693 243843 244443 228555 224105
RSA_tb.RSA.MULT_BLK.mux2_1_shift.Sel,1,65536
RSA_tb.RSA.MULT_BLK.mux2_1_shift.a[31:0],32,132072 132754 135436 135950 135760 135872 136536 136734 137056 136632 136042 136252 137128 136488 135638 135926 136282 136606 137166 136092 136552 136710 136298 136772 135990 136524 136174 135760 136294 136156 136884 135624
RSA_tb.RSA.MULT_BLK.mux3_1.Sel[1:0],2,0 0
RSA_tb.RSA.MULT_BLK.mux3_1.a[31:0],32,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
