"Node","Matches"
"InvMixColumn1.729:AS
m2c = mul4x8({ 4'hd }, s0c) ^ mul4x8({ 4'h9 }, s1c) ^ mul4x8({ 4'he }, s2c) ^ mul4x8({ 4'hb }, s3c);","[('aes128_table_ecb_bench.dut.InvMixColumn1.m2c[7:0]', 7, 0), ('aes128_table_ecb_bench.dut.InvMixColumn1.s0c[7:0]', 7, 0), ('aes128_table_ecb_bench.dut.InvMixColumn1.s1c[7:0]', 7, 0), ('aes128_table_ecb_bench.dut.InvMixColumn1.s2c[7:0]', 7, 0), ('aes128_table_ecb_bench.dut.InvMixColumn1.s3c[7:0]', 7, 0)]"
"136:NS
start_flag <= 1'b1;","[('aes128_table_ecb_bench.dut.start_flag', 0, 0)]"
"118:BL","[]"
"132:IF","[]"
"111:NS
now_state <= next_state;","[('aes128_table_ecb_bench.dut.now_state[2:0]', 2, 0), ('aes128_table_ecb_bench.dut.next_state[2:0]', 2, 0)]"
"InvMixColumn0.728:AS
m1c = mul4x8({ 4'h9 }, s0c) ^ mul4x8({ 4'he }, s1c) ^ mul4x8({ 4'hb }, s2c) ^ mul4x8({ 4'hd }, s3c);","[('aes128_table_ecb_bench.dut.InvMixColumn0.m1c[7:0]', 7, 0), ('aes128_table_ecb_bench.dut.InvMixColumn0.s0c[7:0]', 7, 0), ('aes128_table_ecb_bench.dut.InvMixColumn0.s1c[7:0]', 7, 0), ('aes128_table_ecb_bench.dut.InvMixColumn0.s2c[7:0]', 7, 0), ('aes128_table_ecb_bench.dut.InvMixColumn0.s3c[7:0]', 7, 0)]"
"SubBytes.465:AS
b03 = s_box(a03);","[('aes128_table_ecb_bench.dut.SubBytes.b03[7:0]', 7, 0), ('aes128_table_ecb_bench.dut.SubBytes.a03[7:0]', 7, 0)]"
"167:BL","[]"
"142:NS
round_n <= round_n + 1'b1;","[('aes128_table_ecb_bench.dut.round_n[3:0]', 3, 0)]"
"98:BS
next_state = 3'h2;","[('aes128_table_ecb_bench.dut.next_state[2:0]', 2, 0)]"
"InvSubBytes.540:AS
b30 = is_box(a30);","[('aes128_table_ecb_bench.dut.InvSubBytes.b30[7:0]', 7, 0), ('aes128_table_ecb_bench.dut.InvSubBytes.a30[7:0]', 7, 0)]"
"110:NS
now_state <= 3'h0;","[('aes128_table_ecb_bench.dut.now_state[2:0]', 2, 0)]"
"214:IF","[]"
"SubBytes.451:AS
b10 = s_box(a10);","[('aes128_table_ecb_bench.dut.SubBytes.b10[7:0]', 7, 0), ('aes128_table_ecb_bench.dut.SubBytes.a10[7:0]', 7, 0)]"
