sig_key,width,toggles
aes128_table_ecb_bench.dut.InvMixColumn0.m0c[7:0],8,11 8 9 11 10 9 11 8
aes128_table_ecb_bench.dut.InvMixColumn0.m1c[7:0],8,8 9 8 12 12 8 11 10
aes128_table_ecb_bench.dut.InvMixColumn0.m2c[7:0],8,11 8 9 10 9 11 9 8
aes128_table_ecb_bench.dut.InvMixColumn0.m3c[7:0],8,9 7 8 8 13 7 7 9
aes128_table_ecb_bench.dut.InvMixColumn0.s0c[7:0],8,9 13 12 11 10 6 14 12
aes128_table_ecb_bench.dut.InvMixColumn0.s1c[7:0],8,10 12 10 7 8 7 10 10
aes128_table_ecb_bench.dut.InvMixColumn0.s2c[7:0],8,9 15 13 7 7 6 12 13
aes128_table_ecb_bench.dut.InvMixColumn0.s3c[7:0],8,7 8 11 8 9 8 12 12
aes128_table_ecb_bench.dut.InvMixColumn0.mul4x8.c0[7:0],8,0 0 0 10 10 0 10 10
aes128_table_ecb_bench.dut.InvMixColumn0.mul4x8.c1[7:0],8,0 0 10 10 0 10 10 0
aes128_table_ecb_bench.dut.InvMixColumn0.mul4x8.c2[7:0],8,0 9 9 0 9 9 0 0
aes128_table_ecb_bench.dut.InvMixColumn0.mul4x8.mx[3:0],4,0 0 0 0
aes128_table_ecb_bench.dut.InvMixColumn0.mul4x8.sc[7:0],8,9 13 12 11 10 6 14 12
aes128_table_ecb_bench.dut.InvMixColumn0.mul4x8.sxm0[7:0],8,0 0 0 0 0 0 0 0
aes128_table_ecb_bench.dut.InvMixColumn0.mul4x8.sxm1[7:0],8,9 13 12 11 10 6 14 12
aes128_table_ecb_bench.dut.InvMixColumn0.mul4x8.sxm2[7:0],8,9 13 12 11 10 6 14 12
aes128_table_ecb_bench.dut.InvMixColumn0.mul4x8.sxm3[7:0],8,9 13 12 11 10 6 14 12
aes128_table_ecb_bench.dut.InvMixColumn0.mul4x8.temp[10:0],11,9 10 10 12 13 9 10 10 6 12 0
aes128_table_ecb_bench.dut.InvMixColumn1.m0c[7:0],8,5 8 9 10 12 9 8 5
aes128_table_ecb_bench.dut.InvMixColumn1.m1c[7:0],8,8 9 8 9 9 8 9 9
aes128_table_ecb_bench.dut.InvMixColumn1.m2c[7:0],8,6 9 6 8 10 7 10 4
aes128_table_ecb_bench.dut.InvMixColumn1.m3c[7:0],8,8 12 7 11 8 8 12 11
aes128_table_ecb_bench.dut.InvMixColumn1.s0c[7:0],8,9 11 10 8 9 8 6 7
aes128_table_ecb_bench.dut.InvMixColumn1.s1c[7:0],8,7 11 5 8 3 5 7 6
aes128_table_ecb_bench.dut.InvMixColumn1.s2c[7:0],8,10 12 11 8 4 9 12 11
aes128_table_ecb_bench.dut.InvMixColumn1.s3c[7:0],8,5 10 12 8 7 6 10 9
aes128_table_ecb_bench.dut.InvMixColumn1.mul4x8.c0[7:0],8,0 0 0 10 10 0 10 10
aes128_table_ecb_bench.dut.InvMixColumn1.mul4x8.c1[7:0],8,0 0 8 8 0 8 8 0
aes128_table_ecb_bench.dut.InvMixColumn1.mul4x8.c2[7:0],8,0 9 9 0 9 9 0 0
aes128_table_ecb_bench.dut.InvMixColumn1.mul4x8.mx[3:0],4,0 0 0 0
aes128_table_ecb_bench.dut.InvMixColumn1.mul4x8.sc[7:0],8,9 11 10 8 9 8 6 7
aes128_table_ecb_bench.dut.InvMixColumn1.mul4x8.sxm0[7:0],8,0 0 0 0 0 0 0 0
aes128_table_ecb_bench.dut.InvMixColumn1.mul4x8.sxm1[7:0],8,9 11 10 8 9 8 6 7
aes128_table_ecb_bench.dut.InvMixColumn1.mul4x8.sxm2[7:0],8,9 11 10 8 9 8 6 7
aes128_table_ecb_bench.dut.InvMixColumn1.mul4x8.sxm3[7:0],8,9 11 10 8 9 8 6 7
aes128_table_ecb_bench.dut.InvMixColumn1.mul4x8.temp[10:0],11,9 8 10 7 7 7 7 7 7 7 0
aes128_table_ecb_bench.dut.InvMixColumn2.m0c[7:0],8,10 8 8 9 8 5 10 7
aes128_table_ecb_bench.dut.InvMixColumn2.m1c[7:0],8,4 7 7 10 8 6 11 10
